id,Details,NDVI_TAMU,NDVI_WSU,Yield
91,HiRain_SWW_SP,0.962198611,0.690244962,104.448
92,HiRain_SWW_SP,0.959004947,0.66737337,91.808
93,HiRain_SWW_SP,0.930012901,0.527471943,85.44
94,HiRain_SWW_SP,0.949088107,0.612218758,86.144
95,HiRain_SWW_SP,0.926191944,0.521227809,101.696
96,HiRain_SWW_SP,0.927218956,0.515952634,88.32
97,HiRain_SWW_SP,0.932932615,0.551540961,93.568
98,HiRain_SWW_SP,0.945872015,0.60969753,89.344
99,HiRain_SWW_SP,0.929275018,0.556615737,68.416
100,HiRain_SWW_SP,0.943032068,0.590113107,83.392
101,HiRain_SWW_SP,0.945553582,0.610550374,98.496
102,HiRain_SWW_SP,0.938087254,0.54387124,84.704
103,HiRain_SWW_SP,0.938248927,0.555194884,86.144
104,HiRain_SWW_SP,0.931775807,0.532036426,80.48
105,HiRain_SWW_SP,0.891511412,0.408139784,67.264
106,HiRain_SWW_SP,0.87963255,0.390155662,55.776
107,HiRain_SWW_SP,0.920710189,0.492688488,39.648
108,HiRain_SWW_SP,0.911654971,0.45690712,65.088
109,HiRain_SWW_SP,0.923810526,0.492468541,71.616
110,HiRain_SWW_SP,0.935139474,0.543015385,77.152
111,HiRain_SWW_SP,0.924000614,0.514547144,91.104
112,HiRain_SWW_SP,0.960902211,0.67594041,84.128
113,HiRain_SWW_SP,0.957768167,0.65497139,95.584
114,HiRain_SWW_SP,0.957549984,0.651321034,86.592
115,HiRain_SWW_SP,0.947834191,0.590897449,94.592
116,HiRain_SWW_SP,0.937193719,0.536268096,90.816
117,HiRain_SWW_SP,0.912880582,0.460014672,83.104
118,HiRain_SWW_SP,0.919428838,0.460869022,79.616
119,HiRain_SWW_SP,0.9273159,0.513314443,73.088
120,HiRain_SWW_SP,0.936266246,0.536261862,80.192
121,HiRain_SWW_SP,0.934104285,0.540595037,78.304
122,HiRain_SWW_SP,0.942578267,0.573696521,99.648
123,HiRain_SWW_SP,0.937026099,0.544710763,74.528
124,HiRain_SWW_SP,0.955698978,0.649729741,91.68
